Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Rajasivaranjan T., Anandhi A., Patel N.R., Irannezhad M., Srinivas C.V., Veluswamy K., Surendran U., Raja P.","57214792248;23979324300;8599674800;56554177200;57919432300;57220027205;16029714600;35110520600;","Integrated use of regional weather forecasting and crop modeling for water stress assessment on rice yield",2022,"Scientific Reports","12","1","16985","","",,,"10.1038/s41598-022-19750-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139528616&doi=10.1038%2fs41598-022-19750-z&partnerID=40&md5=3f32c04bedc4e242051097411ced840e","Indian Institute of Remote Sensing, Dehradun, 248001, India; Biological Systems Engineering, Florida Agricultural and Mechanical University, Tallahassee, FL  32307, United States; Water, Energy and Environmental Engineering Research Unit, Faculty of Technology, University of Oulu, Oulu, 90014, Finland; Environmental Assessment Division, Indira Gandhi Centre for Atomic Research, Homi Bhabha National Institute, Tamil Nadu, Kalpakkam, India; Department of Agricultural Engineering, TNAU: Agricultural College and Research Institute, Madurai Campus, Madurai, 625 104, India; Water Management (Agriculture) Division, Centre for Water Resources Development and Management, Kerala, Kunnamangalam, Kozhikode, 673571, India; ICAR-Indian Institute of Soil and Water Conservation, R.C, Tamil Nadu, Udhagamandalam, 643 004, India","Rajasivaranjan, T., Indian Institute of Remote Sensing, Dehradun, 248001, India; Anandhi, A., Biological Systems Engineering, Florida Agricultural and Mechanical University, Tallahassee, FL  32307, United States; Patel, N.R., Indian Institute of Remote Sensing, Dehradun, 248001, India; Irannezhad, M., Water, Energy and Environmental Engineering Research Unit, Faculty of Technology, University of Oulu, Oulu, 90014, Finland; Srinivas, C.V., Environmental Assessment Division, Indira Gandhi Centre for Atomic Research, Homi Bhabha National Institute, Tamil Nadu, Kalpakkam, India; Veluswamy, K., Department of Agricultural Engineering, TNAU: Agricultural College and Research Institute, Madurai Campus, Madurai, 625 104, India; Surendran, U., Water Management (Agriculture) Division, Centre for Water Resources Development and Management, Kerala, Kunnamangalam, Kozhikode, 673571, India; Raja, P., ICAR-Indian Institute of Soil and Water Conservation, R.C, Tamil Nadu, Udhagamandalam, 643 004, India","This study evaluated the effects of water stress on rice yield over Punjab and Haryana across North India by integrating Weather Research Forecasting (WRF) and Decision Support System for Agrotechnology Transfer (DSSAT) models. Indian Remote Sensing Satellite datasets were used to define land use/land cover in WRF. The accuracy of simulated rainfall and temperature over Punjab and Haryana was evaluated against Tropical Rainfall Measuring Mission and automated weather station data of Indian Space Research Organization, respectively. Data from WRF was used as weather input to DSSAT to simulate rice yield in Punjab and Haryana for 2009 and 2014. After simulated yield has been evaluated against district-level observed yield, the water balance components within the DSSAT model were used to analyze the impact of water stress on rice yield. The correlation (R2) between the crop water stress factor and the rice yield anomaly at the vegetative and reproductive stage was 0.64 and 0.52 for Haryana and 0.73 and 0.68 for Punjab, respectively. Severe water stress during the flowering to maturity stage inflicted devastating effects on yield. The study concludes that the regional climate simulations can be potentially used for early water stress prediction and its impact on rice yield. © 2022, The Author(s).",,"agriculture; climate change; crop; dehydration; forecasting; Oryza; weather; Agriculture; Climate Change; Crops, Agricultural; Dehydration; Forecasting; Oryza; Weather",Article,"Final","",Scopus,2-s2.0-85139528616
"Liu Y., Wang S., Chen J., Chen B., Wang X., Hao D., Sun L.","56204254800;57899554700;57203819330;56384622700;57869602200;57929150900;56158988200;","Rice Yield Prediction and Model Interpretation Based on Satellite and Climatic Indicators Using a Transformer Method",2022,"Remote Sensing","14","19","5045","","",,,"10.3390/rs14195045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139943688&doi=10.3390%2frs14195045&partnerID=40&md5=dff3341bef99ca9921e483d4e788434d","Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China; University of Chinese Academy of Sciences, Beijing, 100049, China; Lab of Reginal Ecological Processes and Environmental Change, School of Geography and Information Engineering, Chinese University of Geosciences, Wuhan, 430074, China; National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China; Institute of Geographical Sciences, Hebei Academy of Sciences, Shijiazhuang, 050011, China; Hebei Technology Innovation Center for Geographic Information Application, Shijiazhuang, 050011, China","Liu, Y., Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Wang, S., Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China, University of Chinese Academy of Sciences, Beijing, 100049, China, Lab of Reginal Ecological Processes and Environmental Change, School of Geography and Information Engineering, Chinese University of Geosciences, Wuhan, 430074, China; Chen, J., Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Chen, B., Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Wang, X., Key Laboratory of Ecosystem Network Observation and Modeling, Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences, Beijing, 100101, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Hao, D., University of Chinese Academy of Sciences, Beijing, 100049, China, National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, 100190, China; Sun, L., Institute of Geographical Sciences, Hebei Academy of Sciences, Shijiazhuang, 050011, China, Hebei Technology Innovation Center for Geographic Information Application, Shijiazhuang, 050011, China","As the second largest rice producer, India contributes about 20% of the world’s rice production. Timely, accurate, and reliable rice yield prediction in India is crucial for global food security and health issues. Deep learning models have achieved excellent performances in predicting crop yield. However, the interpretation of deep learning models is still rare. In this study, we proposed a transformer-based model, Informer, to predict rice yield across the Indian Indo-Gangetic Plains by integrating time-series satellite data, environmental variables, and rice yield records from 2001 to 2016. The results showed that Informer had better performance (R2 = 0.81, RMSE = 0.41 t/ha) than four other machine learning and deep learning models for end-of-season prediction. For within-season prediction, the Informer model could achieve stable performances (R2 ≈ 0.78) after late September, which indicated that the optimal prediction could be achieved 2 months before rice maturity. In addition, we interpreted the prediction models by evaluating the input feature importance and analyzing hidden features. The evaluation of feature importance indicated that NIRV was the most critical factor, while intervals 6 (mid-August) and 12 (mid-November) were the key periods for rice yield prediction. The hidden feature analysis demonstrated that the attention-based long short-term memory (AtLSTM) model accumulated the information of each growth period, while the Informer model focused on the information around intervals 5 to 6 (August) and 11 to 12 (November). Our findings provided a reliable and simple framework for crop yield prediction and a new perspective for explaining the internal mechanism of deep learning models. © 2022 by the authors.","attention; crop yield prediction; deep learning; feature importance; remote sensing","Crops; Deep learning; Food supply; Learning systems; Remote sensing; Attention; Crop yield; Crop yield prediction; Deep learning; Feature importance; Learning models; Performance; Remote-sensing; Rice yield; Yield prediction; Forecasting",Article,"Final","",Scopus,2-s2.0-85139943688
"Pazhanivelan S., Geethalakshmi V., Tamilmounika R., Sudarmanian N.S., Kaliaperumal R., Ramalingam K., Sivamurugan A.P., Mrunalini K., Yadav M.K., Quicho E.D.","15751396600;26321498600;57900150100;57210594980;57900754200;16230375900;35604881200;57207047691;57197734925;56429735000;","Spatial Rice Yield Estimation Using Multiple Linear Regression Analysis, Semi-Physical Approach and Assimilating SAR Satellite Derived Products with DSSAT Crop Simulation Model",2022,"Agronomy","12","9","2008","","",,,"10.3390/agronomy12092008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138512306&doi=10.3390%2fagronomy12092008&partnerID=40&md5=7e8a9d45fe157521e80c7442ca4c1aab","Water Technology Centre, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Department of Remote Sensing and GIS, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH, New Delhi, 110029, India; International Rice Research Institute, Los Baños 4031, Laguna, Philippines","Pazhanivelan, S., Water Technology Centre, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Geethalakshmi, V., Water Technology Centre, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Tamilmounika, R., Department of Remote Sensing and GIS, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Sudarmanian, N.S., Department of Remote Sensing and GIS, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Kaliaperumal, R., Water Technology Centre, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Ramalingam, K., Department of Remote Sensing and GIS, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Sivamurugan, A.P., Water Technology Centre, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Mrunalini, K., Water Technology Centre, Tamil Nadu Agricultural University, Coimbatore, 641003, India; Yadav, M.K., Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH, New Delhi, 110029, India; Quicho, E.D., International Rice Research Institute, Los Baños 4031, Laguna, Philippines","Accurate and consistent information on the area and production of field crops is vital for national and state planning and ensuring food security in India. Satellite-based remote sensing offers a suitable and cost-effective technique for regional- and national-scale crop monitoring. The use of remote sensing data for crop yield estimation has been demonstrated using a semi-physical approach with reasonable success. Assimilating remote sensing data with the DSSAT model and spectral indices-based regression analysis are promising methods for spatially estimating rice crop yields. Rice area and yield in the Cauvery delta zone of Tamil Nadu, India was estimated during samba (August–January) season in the years 2020–2021 using Sentinel 1A Synthetic Aperture Radar satellite data with three different spatial yield estimation methods, namely a spectral indices-based regression analysis, semi-physical approach, and integrating remote products with DSSAT crop growth model. A rice area map was generated for the study area using a rule-based classifier approach utilizing parameterization with a classification accuracy of 94.5% and a kappa score of 0.89. The total classified rice area in Cauvery Delta Region was 379,767 ha, and the Start of Season (SoS) maps for samba season revealed that the major planting period for rice was between 22 September and 9 November in 2020. The study also aimed to identify promising spatial yield estimation techniques for optimal rice yield prediction over large areas. Regression models resulted in rice yields of 3234 to 3905 kg ha−1 with a mean of 3654 kg ha−1. The net primary product was computed using the periodical PAR, fAPAR, Wstress, Tstress, and maximum radiation use efficiency in a semi-physical approach. The resultant rice yields ranged between 2652 and 3438 kg ha−1 with the mean of 3076 kg ha−1. During the integration of remote sensing products with crop growth models, LAI values were extracted from dB images and utilized to simulate rice yields in the range of 3684 to 4012 kg ha−1 with the mean of 3855 kg ha−1. When compared to the semi-physical approach, both integrating remote sensing products with the DSSAT crop growth model and spectral indices-based regression analysis had R2 greater than 0.80, NRMSE of less than 10%, and agreement of more than 90%, indicating that these two approaches could be used for spatial rice yield estimation. © 2022 by the authors.","crop growth model; fAPAR; remote sensing; rice yield; semi-physical approach; spectral indices; synthetic aperture radar",,Article,"Final","",Scopus,2-s2.0-85138512306
"Lonare A., Mahaeshwari B., Chinnasamy P.","57876310200;57876879000;57155075600;","Village level identification of sugarcane in Sangali, Maharashtra using open source dat",2022,"Journal of Agrometeorology","24","3",,"249","254",,,"10.54386/jam.v24i3.1688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137355837&doi=10.54386%2fjam.v24i3.1688&partnerID=40&md5=0d5cd0ffffeab0914a42d41339ed9c86","Center for Technology Alternatives for Rural Areas (CTARA), Indian Institute of Technology, Bombay (IITB), Maharashtra, Mumbai, 400076, India; Western Sydney University, Sydney, 2751, Australia","Lonare, A., Center for Technology Alternatives for Rural Areas (CTARA), Indian Institute of Technology, Bombay (IITB), Maharashtra, Mumbai, 400076, India; Mahaeshwari, B., Western Sydney University, Sydney, 2751, Australia; Chinnasamy, P., Center for Technology Alternatives for Rural Areas (CTARA), Indian Institute of Technology, Bombay (IITB), Maharashtra, Mumbai, 400076, India","Agriculture and crop monitoring are very important for an agrarian country like India. This study is done in June Khed village in the Sangli district of Maharashtra, India to assessing the efficiency of an open source cloud-based remote sensing platform Google Earth Engine (GEE), in the village-scale identification of sugarcane. The ground-truth data was collected and the efficiency of Landsat-8 and Sentinel-2 satellite data was assessed in driving GEE’s inbuilt Machine Learning classifiers: Classification and Regression Tree (CART), Support Vector Machine (SVM) and Random Forest (RF). Results were validated with the ground truth data and the official data. Of the methods used, SVM outperformed RF and CART with the lowest relative deviation (+9.2%), highest F1-score (0.8) and overall accuracy (78%), using the Sentinel-2 data. Results also indicated the in-situ use of observation data with high spatio-temporal resolution data. The validated model was then up-scaled for the Walwa Taluka level, to map sugarcane area that can be used for further agriculture tasks such as crop monitoring and yield prediction, leading to better management of crop and better formulating of sugarcane farmer policy. © 2022, Association of Agrometeorologists. All rights reserved.","crop classification; google earth engine; machine learning; remote sensing; Sugarcane",,Article,"Final","",Scopus,2-s2.0-85137355837
"Tripathi A., Tiwari R.K., Tiwari S.P.","57202114561;41762965800;57197202538;","A deep learning multi-layer perceptron and remote sensing approach for soil health based crop yield estimation",2022,"International Journal of Applied Earth Observation and Geoinformation","113",,"102959","","",,,"10.1016/j.jag.2022.102959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136115022&doi=10.1016%2fj.jag.2022.102959&partnerID=40&md5=b9e55172ff234f8261215caf2d4a6a34","Department of Civil Engineering, Indian Institute of Technology (IIT) Ropar, 140001 Punjab, Rupnagar, India; Applied Research Center for Environment & Marine Studies, University Blvd, King Fahd University of Petroleum and Minerals, Az Zahran, Building#15 Office - 4114, Dhahran, 31261, Saudi Arabia","Tripathi, A., Department of Civil Engineering, Indian Institute of Technology (IIT) Ropar, 140001 Punjab, Rupnagar, India; Tiwari, R.K., Department of Civil Engineering, Indian Institute of Technology (IIT) Ropar, 140001 Punjab, Rupnagar, India; Tiwari, S.P., Applied Research Center for Environment & Marine Studies, University Blvd, King Fahd University of Petroleum and Minerals, Az Zahran, Building#15 Office - 4114, Dhahran, 31261, Saudi Arabia","In recent years, Deep Learning Multi-Layer Perceptron (DLMLP) neural networks have shown remarkable success in addressing crop yield forecast related problems. The methodologies used so far for crop yield forecast with remotely sensed data were focused upon vegetation indices generated from optical data. The prediction of crop yield in an accurate manner by developing robust machine learning models based on soil health parameters is crucial since it helps keep a track of soil health as well as its impact on overall yield. This study aims to utilize remotely sensed Microwave satellite data from Sentinel-1 and optical data from Sentinel-2, and field data to estimate three important soil health parameters- Soil Moisture, Soil Salinity, and Soil Organic Carbon (SOC). The study has been carried out in the Rupnagar district of Punjab in India. The estimated soil health parameters, SAR backscatter, and optical remote sensing satellite data parameters were utilized to estimate wheat crop yield. The soil health based DLMLP model performed best in crop yield estimation and gave R2 values of 0.723 and 0.684 in the training and testing phases, respectively, and Mean Absolute Error (MAE) of 0.98 and Root Mean Square Error (RMSE) value of 1.24 for the 2019–20 season. The DLMLP test R2 was 42.2% more than the Ordinary Least Squares Regressor (OLS), while the MAE and RMSE were 37.97% and 38.61% less than the OLS regressor for wheat crop yield estimation. The soil health-based DLMLP model gave satisfactory yield estimation accuracy in the absence of validation of soil health parameter values for the preceding years-2015–16 till 2018–19 wheat seasons. This study's novel feature is that it estimates soil health parameters for the early stages of wheat crop growth when soil lies mostly exposed and utilises them for crop yield prediction. © 2022 The Author(s)","Crop yield forecast; Deep Learning Multi-Layer Perceptron (DLMLP); Machine learning; SAR backscatter; Soil health parameters","backscatter; crop production; crop yield; estimation method; machine learning; remote sensing; soil property; synthetic aperture radar; India; Punjab [India]",Article,"Final","",Scopus,2-s2.0-85136115022
"Prasad N.R., Patel N.R., Danodia A., Manjunath K.R.","57214278963;8599674800;57195242968;7004539258;","Comparative performance of semi-empirical based remote sensing and crop simulation model for cotton yield prediction",2022,"Modeling Earth Systems and Environment","8","2",,"1733","1747",,,"10.1007/s40808-021-01180-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106063646&doi=10.1007%2fs40808-021-01180-x&partnerID=40&md5=e8a1698b792ab59196cd64df884dd6f5","Agriculture & Soils Department, Indian Institute of Remote Sensing, Indian Space Research Organization, Dehradun, India; Indian Space Research Organization, Head Quarter, Bangalore, India","Prasad, N.R., Agriculture & Soils Department, Indian Institute of Remote Sensing, Indian Space Research Organization, Dehradun, India; Patel, N.R., Agriculture & Soils Department, Indian Institute of Remote Sensing, Indian Space Research Organization, Dehradun, India; Danodia, A., Agriculture & Soils Department, Indian Institute of Remote Sensing, Indian Space Research Organization, Dehradun, India; Manjunath, K.R., Indian Space Research Organization, Head Quarter, Bangalore, India","Early prediction of crop yield serves as a strategic plan for policymakers in making suitable import–export policies. In this research, remote sensing driven semi-empirical light use efficiency (LUE) model and a process-based crop simulation model (CSM) approach were attempted to predict cotton yield in the five districts of Maharashtra state, India. Time-series satellite data from different earth observation (EO) missions were retrieved from 2011 to 2017. Satellite-based measurements of fraction of absorbed photosynthetically active radiation (FAPAR) and photosynthetically active radiation (PAR) data were directly incorporated into the LUE model. The LUE model approach used observed minimum (0.07) and maximum (0.12) lint harvest index (HI) values to predict the cotton yield. On the other hand, the CSM model was parameterized with observed field management, soil, weather, and cultivar data for crop yield prediction. The inter-evaluation of models has revealed that the LUE model with HI value 0.07 (HI0.07) performed better when compared to the LUE model with HI value 0.12 (HI0.12) and CSM model. LUE model HI0.07 had shown better accuracy in terms of root mean square error (RMSE) of 154 kg ha−1 and correlation coefficient value of (R2 = 0.46) when compared with LUE model HI0.12 (RMSE 310 kg ha−1 and R2 = 0.41) and CSM model (RMSE 235 kg ha−1 and R2 = 0.38). The predicted yield from the models was found satisfactory for the normal year with acceptable accuracy. However, overestimation of yield was seen for the years affected by drought. This study has shown the potential of geospatial data that can be coupled with crop models to predict the crop yield with limited field observations. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","Cotton; Crop yield; CSM; Drought; LUE; Semi-arid","comparative study; computer simulation; cotton; empirical analysis; numerical model; prediction; remote sensing; India; Maharashtra",Article,"Final","",Scopus,2-s2.0-85106063646
"Joseph C., Kishore R., Janani B., Nihal B.S.","55578029300;26422998900;57572786400;57573743400;","Intelligent crop prediction for farmland using real-time sensor data and machine learning",2022,"AIP Conference Proceedings","2405",,"030005","","",,1,"10.1063/5.0072728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128063932&doi=10.1063%2f5.0072728&partnerID=40&md5=6a457ad8cc378aa66a5298c5270865fe","Department of Electronics and Communication Engineering, SRM Institute of Science and Technology, Ramapuram, TN, Chennai, 600089, India","Joseph, C., Department of Electronics and Communication Engineering, SRM Institute of Science and Technology, Ramapuram, TN, Chennai, 600089, India; Kishore, R., Department of Electronics and Communication Engineering, SRM Institute of Science and Technology, Ramapuram, TN, Chennai, 600089, India; Janani, B., Department of Electronics and Communication Engineering, SRM Institute of Science and Technology, Ramapuram, TN, Chennai, 600089, India; Nihal, B.S., Department of Electronics and Communication Engineering, SRM Institute of Science and Technology, Ramapuram, TN, Chennai, 600089, India","This paper presents an intelligent crop prediction for farmland using real-time sensor data and machine learning. As an agricultural country, the majority of India's population and economy are dependent on agricultural yield growth, which is in turn reliant on soil variables as well as climate factors like temperature and precipitation. Crop production can be increased by technological advancements in agriculture like remote sensing systems and IoT. Further machine learning is used to also used in this project to predict the type of plant that is better suited to be cultivated by integrating sensors such as pH, moisture, rainfall, temperature, and humidity. © 2022 Author(s).",,,Conference Paper,"Final","",Scopus,2-s2.0-85128063932
"Tripathy R., Chaudhari K.N., Bairagi G.D., Pal O., Das R., Bhattacharya B.K.","7004000409;7004192284;6508223449;35737650600;57650524600;55341341000;","Towards Fine-Scale Yield Prediction of Three Major Crops of India Using Data from Multiple Satellite",2022,"Journal of the Indian Society of Remote Sensing","50","2",,"271","284",,1,"10.1007/s12524-021-01361-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103669694&doi=10.1007%2fs12524-021-01361-2&partnerID=40&md5=8f9ad22f767507d601bb346f0673b241","Space Applications Centre, ISRO, Gujarat, Ahmedabad, India; Madhya Pradesh Remote Sensing Applications Centre, Madhya Pradesh, Bhopal, India; Haryana Remote Sensing Centre, Haryana, Hissar, India; Directorate of Agriculture and Food Production (DA & FP), Odisha, Odisha, Bhubaneswar, India","Tripathy, R., Space Applications Centre, ISRO, Gujarat, Ahmedabad, India; Chaudhari, K.N., Space Applications Centre, ISRO, Gujarat, Ahmedabad, India; Bairagi, G.D., Madhya Pradesh Remote Sensing Applications Centre, Madhya Pradesh, Bhopal, India; Pal, O., Haryana Remote Sensing Centre, Haryana, Hissar, India; Das, R., Directorate of Agriculture and Food Production (DA & FP), Odisha, Odisha, Bhubaneswar, India; Bhattacharya, B.K., Space Applications Centre, ISRO, Gujarat, Ahmedabad, India","There is enormous scope and prospective of crop yield prediction at finer scale for both farm-level crop management as well as for crop insurance settlement at gram panchayat (GP) level in India. Now with the advent of satellite sensors like the MSI from Sentilnel-2 with fine spatial resolution, the possibility of generating frequent information on crop condition at field scale is increasing. This study demonstrated the combined use of high-resolution data from Sentinel-2 (10 m and 20 m); moderate-resolution data from MODIS (500 m) and coarser-resolution radiation data from INSAT-3D (4 km) for estimating yield of three major crops of India at GP and taluka level using a semi-physical model based on crop-specific radiation use efficiency. The novelty of this study lies in the data fusion approach using parameters from multiple spatial resolution of Geostationary and Lower Earth Orbiting satellites within the basic semi-physical model framework. The methodology has been demonstrated in Cuttack district of Odisha for rice; Rajkot district of Gujarat for cotton; and Indore district of MP and Fatehabad district of Haryana for wheat. We validated our result at GP, taluka and district level. At GP level, the root mean square error (RMSE) was found to be 16.5% for rice and 5.8% for wheat in Indore district. At taluka level, the RMSE was found to be 15%, 5.7%, 4.4% and 7.4% for rice, wheat in Indore district, wheat in Fatehabad district and cotton, respectively. The study concluded that high resolution remote sensing data would be of immense use for finer scale yield estimation, which can be aggregated at GP and taluka level with satisfactory accuracy (p = 95%). © 2021, Indian Society of Remote Sensing.","Cotton; Crop yield estimation at gram panchayat and taluka level; MODIS; Rice; Semi-physical model; Sentinel-2; Wheat","agricultural management; cotton; crop plant; crop yield; satellite data; spatiotemporal analysis; India",Article,"Final","",Scopus,2-s2.0-85103669694
"Yagnasree S., Jain A.","57947050700;57197766121;","A Comprehensive Review of Emerging Technologies: Machine Learning and UAV in Crop Management",2022,"Journal of Physics: Conference Series","2327","1","012035","","",,,"10.1088/1742-6596/2327/1/012035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140874854&doi=10.1088%2f1742-6596%2f2327%2f1%2f012035&partnerID=40&md5=1d922333fab891ac97a31c9ac3b64628","Lovely Professional University, Punjab, India","Yagnasree, S., Lovely Professional University, Punjab, India; Jain, A., Lovely Professional University, Punjab, India","It is a known fact that India is one among the major food producers in the world. Due to the rapid urbanization and Agrochemical interventions, plants are infected by insects, pathogens, massive infestations, which leads to the deficiency of growth nutrients and ions, thereby minimizing agricultural crop yield. These infections occur in several forms like aphids, black root rot, cankers, leaf curls, rusts, anthracnose, and blights make agriculture fail to thrive and increase the impact of crop diseases. Since plant disease prevention is a continuous process that occurs regularly, agriculturists follow several strategies to keep their crops disease-free. An efficient monitoring and supporting system for continuous and long-term plant and soil health monitoring is needed to meet the needs of growing population. In this paper, existing research works in Precision agriculture, emerging technologies - GPS, GIS, Machine learning and UAVs in analyzing crop health analysis, soil health monitoring, and crop yield prediction are reviewed. © Published under licence by IOP Publishing Ltd.","Crop and Soil health; Machine learning; monitoring; Precision Agriculture; UAV-Low altitude remote sensing; Yield prediction","Agricultural technology; Health; Machine learning; Precision agriculture; Remote sensing; Soils; Unmanned aerial vehicles (UAV); Crop and soil health; Crop yield; Emerging technologies; Low altitudes; Machine-learning; Precision Agriculture; Remote-sensing; Soil health; UAV-low altitude remote sensing; Yield prediction; Crops",Conference Paper,"Final","",Scopus,2-s2.0-85140874854
"Jha S.S., Joshi C., Nidamanuri R.R.","35609291800;57944283900;35743520500;","Target detection in hyperspectral imagery using atmospheric-spectral modelling and deep learning",2022,"IEEE Geoscience and Remote Sensing Letters",,,,"1","1",,,"10.1109/LGRS.2022.3215576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140791858&doi=10.1109%2fLGRS.2022.3215576&partnerID=40&md5=15b628679ba370e30f097b3cede8900a","Indian Institute of Space Science and Technology, Thiruvananthapuram, India","Jha, S.S., Indian Institute of Space Science and Technology, Thiruvananthapuram, India; Joshi, C., Indian Institute of Space Science and Technology, Thiruvananthapuram, India; Nidamanuri, R.R., Indian Institute of Space Science and Technology, Thiruvananthapuram, India","Target detection (TD) in spectral imagery is an evolving analytical perspective with broader application potential. The perceived distinctness of the spectral signatures of the materials of interest is exploited for detecting targets in hyperspectral imagery. Space-time varying atmospheric perturbances on the radiation reaching a remote sensor are major limitations for designing a successful TD framework. Incorporating atmospheric components into a target detection framework is vital for practical applicability. Considered a general approach for flexibility, scalability, and optimal prediction, deep learning (DL) methods are increasingly used in various remote sensing applications. However, their potential for TD is relatively unexplored. Especially, the ability to provide training data sufficient for DL models and maintaining the functional relevance of the sparsely distributed targets in hyperspectral imagery are crucial for TD frameworks. This letter presents a novel method for training of DL architecture, called Deep Spectral Target Detector (DSTD). The proposed method includes a semi-supervised multi-scenario forward radiative transfer modelling (RTM) for the simulation of spectral signatures of various targets as training data suitable for the functional requirements of a typical DL architecture. We implemented the DSTD on a TD application-specific benchmark AVIRIS-NG airborne hyperspectral imagery acquired over a study site near Ooty, India. Compared to state-of-art statistical target detectors, the detection performance of the DSTD is superior to equivalent. Further, RTM-based training yields a robust model, impervious to the atmospheric mismatches between target collection and TD environments, indicating the potential for a similar approach to developing efficient DL-based methods for TD in the future. IEEE","6S RTM; Atmospheric modeling; Deep learning; Detectors; Hyperspectral imagery; Hyperspectral imaging; Object detection; Radiative transfer modelling; Reflectivity; Spectral matching; Target detection; Training; Training data","Benchmarking; Deep learning; Hyperspectral imaging; Object recognition; Radar target recognition; Radiative transfer; Remote sensing; Spectroscopy; Target tracking; 6s radiative transfer modeling; Atmospheric modeling; Deep learning; Hyper-spectral imageries; Objects detection; Radiative transfer modelling; Spectral matchings; Targets detection; Training data; Object detection",Article,"Article in Press","",Scopus,2-s2.0-85140791858
